"","X","dvcat","weight","dead","airbag","seatbelt","frontal","sex","ageOFocc","yearacc","yearVeh","abcat","occRole","deploy","injSeverity","caseid"
"1",1,"25-39",25.0689999999013,"alive","none","belted",1,"f",26,1997,1990,"unavail","driver",0,3,"2:3:1"
"3",3,"10-24",32.3789999997243,"alive","none","none",1,"f",69,1997,1988,"unavail","driver",0,4,"2:5:1"
"4",4,"25-39",495.443999998271,"alive","airbag","belted",1,"f",53,1997,1995,"deploy","driver",1,1,"2:10:1"
"5",5,"25-39",25.0689999999013,"alive","none","belted",1,"f",32,1997,1988,"unavail","driver",0,3,"2:11:1"
"6",6,"40-54",25.0689999999013,"alive","none","belted",1,"f",22,1997,1985,"unavail","driver",0,3,"2:11:2"
"11",11,"10-24",812.868999995291,"alive","none","belted",1,"m",21,1997,1987,"unavail","pass",0,0,"2:14:2"
"13",13,"10-24",923.995999999344,"alive","airbag","belted",1,"m",67,1997,1991,"deploy","driver",1,1,"2:16:2"
"16",16,"25-39",29.0809999997728,"alive","none","belted",1,"m",71,1997,1990,"unavail","driver",0,1,"2:18:2"
"17",17,"25-39",29.0809999997728,"alive","none","belted",1,"f",63,1997,1990,"unavail","pass",0,3,"2:18:2"
"19",19,"10-24",1156.43899999559,"alive","airbag","belted",0,"m",33,1997,1995,"nodeploy","driver",0,0,"2:20:1"
"20",20,"10-24",1156.43899999559,"alive","airbag","belted",0,"m",17,1997,1995,"nodeploy","pass",0,0,"2:20:1"
"21",21,"10-24",86.1999999992549,"alive","airbag","none",1,"f",20,1997,1995,"deploy","driver",1,1,"2:23:1"
"22",22,"10-24",86.1999999992549,"alive","none","belted",0,"f",22,1997,1987,"unavail","driver",0,0,"2:23:2"
"27",27,"10-24",244.389999998733,"alive","none","belted",0,"m",26,1997,1986,"unavail","driver",0,0,"2:28:1"
"29",29,"40-54",26.2329999997746,"alive","none","belted",1,"f",18,1997,1987,"unavail","driver",0,1,"2:33:1"
"32",32,"1-9km/h",745.350999996066,"alive","none","belted",1,"m",16,1997,1988,"unavail","driver",0,0,"2:35:1"
"33",33,"1-9km/h",745.350999996066,"alive","none","belted",1,"m",17,1997,1988,"unavail","pass",0,0,"2:35:1"
"35",35,"10-24",745.350999996066,"alive","airbag","belted",0,"f",17,1997,1990,"nodeploy","pass",0,0,"2:35:2"
"36",36,"25-39",30.1479999998119,"alive","none","none",1,"m",32,1997,1993,"unavail","driver",0,3,"2:37:1"
"37",37,"25-39",30.1479999998119,"alive","airbag","none",1,"f",19,1997,1993,"deploy","driver",1,2,"2:38:1"
"38",38,"25-39",30.1479999998119,"alive","airbag","belted",0,"f",52,1997,1995,"nodeploy","driver",0,1,"2:38:2"
"43",43,"55+",25.0689999999013,"alive","none","none",1,"m",76,1997,1984,"unavail","driver",0,3,"2:41:1"
"45",45,"10-24",206.308999998495,"alive","none","belted",0,"m",21,1997,1987,"unavail","driver",0,1,"2:42:2"
"48",48,"10-24",440.461999997497,"alive","airbag","none",0,"f",16,1997,1992,"nodeploy","pass",0,0,"2:43:1"
"49",49,"10-24",105.151999999769,"alive","none","belted",0,"f",24,1997,1977,"unavail","driver",0,1,"2:45:1"
"51",51,"10-24",324.452999997884,"alive","none","belted",1,"m",18,1997,1985,"unavail","driver",0,0,"2:47:1"
"52",52,"40-54",98.5229999991134,"alive","none","belted",1,"f",64,1997,1991,"unavail","driver",0,3,"2:49:1"
"53",53,"40-54",435.56799999997,"alive","none","belted",1,"m",22,1997,1984,"unavail","driver",0,1,"2:51:1"
"54",54,"40-54",1343.96799999475,"alive","none","belted",1,"m",27,1997,1968,"unavail","driver",0,0,"2:52:2"
"59",59,"1-9km/h",565.863999992609,"alive","airbag","none",0,"f",16,1997,1996,"nodeploy","pass",0,0,"2:58:1"
"61",61,"25-39",37.5279999999329,"alive","airbag","none",0,"m",19,1997,1996,"nodeploy","pass",0,2,"2:60:1"
"64",64,"25-39",82.9799999995157,"alive","none","none",0,"f",78,1997,1986,"unavail","driver",0,3,"2:69:1"
"65",65,"25-39",82.9799999995157,"alive","none","belted",1,"m",40,1997,1985,"unavail","driver",0,0,"2:69:2"
"67",67,"10-24",568.998999997973,"alive","none","none",1,"m",76,1997,1989,"unavail","driver",0,5,"2:70:1"
"68",68,"10-24",211.896999999881,"alive","none","none",0,"f",55,1997,1983,"unavail","driver",0,1,"2:71:1"
"69",69,"10-24",211.896999999881,"alive","none","belted",1,"m",45,1997,1986,"unavail","driver",0,0,"2:71:2"
"70",70,"10-24",211.896999999881,"alive","none","belted",0,"f",20,1997,1992,"unavail","driver",0,1,"2:72:2"
"75",75,"25-39",37.5279999999329,"alive","airbag","belted",0,"f",20,1997,1997,"deploy","driver",1,3,"2:75:2"
"77",77,"25-39",82.9799999995157,"alive","none","none",1,"m",24,1997,1983,"unavail","driver",0,2,"2:76:1"
"80",80,"10-24",167.319999998435,"alive","none","belted",1,"f",82,1997,1988,"unavail","driver",0,0,"2:77:1"
"81",81,"10-24",167.319999998435,"alive","none","belted",1,"f",44,1997,1988,"unavail","pass",0,1,"2:77:1"
"83",83,"55+",27.0779999999795,"dead","none","belted",1,"m",67,1997,1992,"unavail","driver",0,4,"2:79:1"
"84",84,"55+",27.0779999999795,"dead","none","belted",1,"f",64,1997,1992,"unavail","pass",0,4,"2:79:1"
"85",85,"40-54",27.0779999999795,"alive","none","belted",1,"m",65,1997,1991,"unavail","driver",0,3,"2:79:2"
"86",86,"10-24",91.6939999992028,"alive","none","belted",0,"f",42,1997,1988,"unavail","driver",0,1,"2:83:1"
"91",91,"1-9km/h",84.0599999995902,"alive","airbag","belted",0,"m",50,1997,1992,"nodeploy","driver",0,0,"2:85:2"
"93",93,"40-54",51.5559999998659,"alive","airbag","belted",1,"m",40,1997,1995,"deploy","driver",1,1,"2:88:2"
"96",96,"10-24",91.6939999992028,"alive","none","belted",1,"f",17,1997,1986,"unavail","driver",0,1,"2:91:2"
"97",97,"10-24",227.935999998823,"alive","none","belted",0,"m",71,1997,1987,"unavail","driver",0,0,"2:94:1"
"99",99,"10-24",37.5279999999329,"alive","none","none",0,"f",20,1997,1989,"unavail","driver",0,1,"2:97:2"
"100",100,"10-24",101.069999999367,"alive","none","none",1,"m",18,1997,1987,"unavail","driver",0,3,"2:98:2"
"101",101,"10-24",101.069999999367,"alive","none","none",1,"m",26,1997,1987,"unavail","pass",0,1,"2:98:2"
"102",102,"55+",27.0779999999795,"alive","none","none",1,"m",20,1997,1981,"unavail","driver",0,3,"2:99:1"
"107",107,"10-24",402.047999996692,"alive","none","belted",0,"f",18,1997,1982,"unavail","pass",0,1,"2:102:1"
"109",109,"10-24",402.047999996692,"alive","none","none",1,"f",20,1997,1990,"unavail","pass",0,1,"2:102:2"
"112",112,"25-39",29.3679999997839,"alive","none","none",1,"m",55,1997,1992,"unavail","pass",0,1,"2:104:1"
"113",113,"10-24",126.668999999762,"alive","none","belted",0,"f",37,1997,1988,"unavail","driver",0,0,"2:105:1"
"115",115,"10-24",91.6939999992028,"alive","none","belted",0,"m",45,1997,1981,"unavail","driver",0,5,"2:108:1"
"116",116,"10-24",91.6939999992028,"alive","none","belted",1,"m",75,1997,1987,"unavail","driver",0,0,"2:108:2"
"117",117,"10-24",30.9459999999963,"alive","airbag","belted",1,"f",57,1997,1995,"deploy","driver",1,1,"2:109:1"
"118",118,"10-24",203.859999999404,"alive","none","belted",1,"f",17,1997,1989,"unavail","driver",0,0,"2:110:1"
"123",123,"10-24",25.0689999999013,"alive","none","belted",0,"m",53,1997,1991,"unavail","driver",0,3,"2:115:2"
"125",125,"10-24",403.525999996811,"alive","none","belted",0,"m",42,1997,1991,"unavail","pass",0,0,"2:117:1"
"128",128,"25-39",25.0689999999013,"alive","none","belted",1,"m",17,1997,1985,"unavail","driver",0,1,"2:120:1"
"129",129,"25-39",25.0689999999013,"alive","none","none",1,"m",16,1997,1985,"unavail","pass",0,3,"2:120:1"
"131",131,"10-24",573.615999996662,"alive","none","belted",1,"f",61,1997,1993,"unavail","driver",0,1,"2:121:1"
"132",132,"10-24",573.615999996662,"alive","none","none",0,"f",36,1997,1983,"unavail","driver",0,1,"2:121:2"
"133",133,"10-24",573.615999996662,"alive","none","none",0,"f",38,1997,1983,"unavail","pass",0,1,"2:121:2"
"134",134,"25-39",100.212999999523,"alive","airbag","belted",0,"m",31,1997,1996,"nodeploy","driver",0,5,"2:123:1"
"139",139,"10-24",328.91099999845,"alive","none","belted",0,"m",16,1997,1991,"unavail","driver",0,3,"2:128:1"
"141",141,"25-39",27.4089999999851,"alive","none","belted",1,"m",58,1997,1992,"unavail","driver",0,3,"2:129:2"
"144",144,"10-24",25.0689999999013,"alive","none","belted",0,"f",17,1997,1992,"unavail","pass",0,3,"2:130:1"
"145",145,"10-24",203.147999998182,"alive","none","none",1,"m",71,1997,1986,"unavail","driver",0,2,"2:132:1"
"147",147,"10-24",158.202999999747,"alive","airbag","belted",1,"m",71,1997,1994,"deploy","pass",1,1,"2:133:1"
"148",148,"10-24",1042.16699999571,"alive","none","belted",1,"f",74,1997,1988,"unavail","driver",0,1,"2:136:2"
"149",149,"10-24",108.014999999665,"alive","none","belted",1,"m",41,1997,1985,"unavail","driver",0,1,"2:137:1"
"150",150,"10-24",108.014999999665,"alive","none","belted",1,"m",54,1997,1987,"unavail","driver",0,1,"2:138:1"
"155",155,"10-24",44.3329999996349,"alive","airbag","belted",1,"m",67,1997,1997,"deploy","driver",1,1,"2:149:2"
"157",157,"25-39",94.6489999992773,"alive","none","belted",0,"m",23,1997,1984,"unavail","driver",0,0,"2:151:1"
"160",160,"10-24",305.89999999851,"alive","none","none",1,"m",23,1997,1986,"unavail","driver",0,2,"2:154:1"
"161",161,"10-24",305.89999999851,"alive","none","none",1,"m",24,1997,1986,"unavail","pass",0,3,"2:154:1"
"163",163,"40-54",25.4919999998529,"alive","none","none",0,"m",51,1997,1985,"unavail","driver",0,3,"2:156:1"
"164",164,"40-54",25.4919999998529,"alive","none","none",0,"m",46,1997,1985,"unavail","pass",0,2,"2:156:1"
"165",165,"25-39",25.4919999998529,"alive","none","belted",1,"m",63,1997,1988,"unavail","driver",0,1,"2:156:2"
"166",166,"25-39",25.4919999998529,"alive","none","belted",1,"f",51,1997,1988,"unavail","pass",0,3,"2:156:2"
"171",171,"25-39",38.7829999998212,"alive","none","none",1,"m",30,1997,1985,"unavail","driver",0,0,"3:9:2"
"173",173,"10-24",258.579999998212,"alive","none","none",0,"f",44,1997,1989,"unavail","driver",0,2,"3:16:2"
"176",176,"10-24",803.823999993503,"alive","none","none",1,"m",38,1997,1988,"unavail","driver",0,1,"3:22:1"
"177",177,"10-24",55.1809999998659,"alive","none","belted",1,"m",59,1997,1981,"unavail","driver",0,0,"3:25:1"
"179",179,"10-24",157.868999999017,"alive","none","none",0,"f",53,1997,1984,"unavail","driver",0,1,"3:32:1"
"180",180,"10-24",157.868999999017,"alive","airbag","belted",1,"f",32,1997,1996,"nodeploy","driver",0,0,"3:32:2"
"181",181,"10-24",157.868999999017,"alive","airbag","belted",1,"f",26,1997,1996,"nodeploy","pass",0,0,"3:32:2"
"182",182,"25-39",10.4409999999916,"alive","airbag","belted",1,"f",36,1997,1996,"nodeploy","driver",0,1,"3:33:3"
"187",187,"1-9km/h",81.9989999998361,"alive","airbag","belted",0,"m",49,1997,1992,"nodeploy","driver",0,1,"3:39:1"
"189",189,"25-39",219.702999999747,"alive","none","belted",1,"f",35,1997,1992,"unavail","driver",0,1,"3:42:1"
"192",192,"25-39",30.6939999999013,"alive","none","belted",1,"m",61,1997,1987,"unavail","pass",0,0,"3:47:1"
"193",193,"25-39",63.2589999996126,"alive","airbag","belted",1,"m",19,1997,1996,"deploy","driver",1,1,"3:49:1"
"195",195,"10-24",543.39999999851,"alive","none","none",1,"m",26,1997,1986,"unavail","driver",0,0,"3:52:1"
"196",196,"10-24",543.39999999851,"alive","none","none",1,"f",26,1997,1986,"unavail","pass",0,1,"3:52:1"
"197",197,"40-54",11.2569999999832,"alive","none","belted",1,"f",32,1997,1981,"unavail","driver",0,0,"3:63:1"
"198",198,"10-24",1107.53999999166,"alive","none","belted",0,"f",19,1997,1986,"unavail","driver",0,0,"3:64:1"
"203",203,"10-24",67.1379999993369,"alive","airbag","belted",0,"m",22,1997,1995,"nodeploy","driver",0,1,"3:83:1"
"205",205,"10-24",67.1379999993369,"alive","none","none",1,"m",66,1997,1989,"unavail","driver",0,3,"3:83:2"
